Code,Name,FK_Month
19450218,1944-1945 February 18                ,1944194508
19450219,1944-1945 February 19                ,1944194508
19450220,1944-1945 February 20                ,1944194508
19450221,1944-1945 February 21                ,1944194508
19450222,1944-1945 February 22                ,1944194508
19450223,1944-1945 February 23                ,1944194508
19450224,1944-1945 February 24                ,1944194508
19450225,1944-1945 February 25                ,1944194508
19450226,1944-1945 February 26                ,1944194508
19450227,1944-1945 February 27                ,1944194508
19450228,1944-1945 February 28                ,1944194508
19450301,1944-1945 March 01                   ,1944194509
19450302,1944-1945 March 02                   ,1944194509
19450303,1944-1945 March 03                   ,1944194509
19450304,1944-1945 March 04                   ,1944194509
19450305,1944-1945 March 05                   ,1944194509
19450306,1944-1945 March 06                   ,1944194509
19450307,1944-1945 March 07                   ,1944194509
19450308,1944-1945 March 08                   ,1944194509
19450309,1944-1945 March 09                   ,1944194509
19450310,1944-1945 March 10                   ,1944194509
19450311,1944-1945 March 11                   ,1944194509
19450312,1944-1945 March 12                   ,1944194509
19450313,1944-1945 March 13                   ,1944194509
19450314,1944-1945 March 14                   ,1944194509
19450315,1944-1945 March 15                   ,1944194509
19450316,1944-1945 March 16                   ,1944194509
19450317,1944-1945 March 17                   ,1944194509
19450318,1944-1945 March 18                   ,1944194509
19450319,1944-1945 March 19                   ,1944194509
19450320,1944-1945 March 20                   ,1944194509
19450321,1944-1945 March 21                   ,1944194509
19450322,1944-1945 March 22                   ,1944194509
19450323,1944-1945 March 23                   ,1944194509
19450324,1944-1945 March 24                   ,1944194509
19450325,1944-1945 March 25                   ,1944194509
19450326,1944-1945 March 26                   ,1944194509
19450327,1944-1945 March 27                   ,1944194509
19450328,1944-1945 March 28                   ,1944194509
19450329,1944-1945 March 29                   ,1944194509
19450330,1944-1945 March 30                   ,1944194509
19450331,1944-1945 March 31                   ,1944194509
19450401,1944-1945 April 01                   ,1944194510
19450402,1944-1945 April 02                   ,1944194510
19450403,1944-1945 April 03                   ,1944194510
19450404,1944-1945 April 04                   ,1944194510
19450405,1944-1945 April 05                   ,1944194510
19450406,1944-1945 April 06                   ,1944194510
19450407,1944-1945 April 07                   ,1944194510
19450408,1944-1945 April 08                   ,1944194510
19450409,1944-1945 April 09                   ,1944194510
19450410,1944-1945 April 10                   ,1944194510
19450411,1944-1945 April 11                   ,1944194510
19450412,1944-1945 April 12                   ,1944194510
19450413,1944-1945 April 13                   ,1944194510
19450414,1944-1945 April 14                   ,1944194510
19450415,1944-1945 April 15                   ,1944194510
19450416,1944-1945 April 16                   ,1944194510
19450417,1944-1945 April 17                   ,1944194510
19450418,1944-1945 April 18                   ,1944194510
19450419,1944-1945 April 19                   ,1944194510
19450420,1944-1945 April 20                   ,1944194510
19450421,1944-1945 April 21                   ,1944194510
19450422,1944-1945 April 22                   ,1944194510
19450423,1944-1945 April 23                   ,1944194510
19450424,1944-1945 April 24                   ,1944194510
19450425,1944-1945 April 25                   ,1944194510
19450426,1944-1945 April 26                   ,1944194510
19450427,1944-1945 April 27                   ,1944194510
19450428,1944-1945 April 28                   ,1944194510
19450429,1944-1945 April 29                   ,1944194510
19450430,1944-1945 April 30                   ,1944194510
19450501,1944-1945 May 01                     ,1944194511
19450502,1944-1945 May 02                     ,1944194511
19450503,1944-1945 May 03                     ,1944194511
19450504,1944-1945 May 04                     ,1944194511
19450505,1944-1945 May 05                     ,1944194511
19450506,1944-1945 May 06                     ,1944194511
19450507,1944-1945 May 07                     ,1944194511
19450508,1944-1945 May 08                     ,1944194511
19450509,1944-1945 May 09                     ,1944194511
19450510,1944-1945 May 10                     ,1944194511
19450511,1944-1945 May 11                     ,1944194511
19450512,1944-1945 May 12                     ,1944194511
19450513,1944-1945 May 13                     ,1944194511
19450514,1944-1945 May 14                     ,1944194511
19450515,1944-1945 May 15                     ,1944194511
19450516,1944-1945 May 16                     ,1944194511
19450517,1944-1945 May 17                     ,1944194511
19450518,1944-1945 May 18                     ,1944194511
19450519,1944-1945 May 19                     ,1944194511
19450520,1944-1945 May 20                     ,1944194511
19450521,1944-1945 May 21                     ,1944194511
19450522,1944-1945 May 22                     ,1944194511
19450523,1944-1945 May 23                     ,1944194511
19450524,1944-1945 May 24                     ,1944194511
19450525,1944-1945 May 25                     ,1944194511
19450526,1944-1945 May 26                     ,1944194511
19450527,1944-1945 May 27                     ,1944194511
19450528,1944-1945 May 28                     ,1944194511
19450529,1944-1945 May 29                     ,1944194511
19450530,1944-1945 May 30                     ,1944194511
19450531,1944-1945 May 31                     ,1944194511
19450601,1944-1945 June 01                    ,1944194512
19450602,1944-1945 June 02                    ,1944194512
19450603,1944-1945 June 03                    ,1944194512
19450604,1944-1945 June 04                    ,1944194512
19450605,1944-1945 June 05                    ,1944194512
19450606,1944-1945 June 06                    ,1944194512
19450607,1944-1945 June 07                    ,1944194512
19450608,1944-1945 June 08                    ,1944194512
19450609,1944-1945 June 09                    ,1944194512
19450610,1944-1945 June 10                    ,1944194512
19450611,1944-1945 June 11                    ,1944194512
19450612,1944-1945 June 12                    ,1944194512
19450613,1944-1945 June 13                    ,1944194512
19450614,1944-1945 June 14                    ,1944194512
19450615,1944-1945 June 15                    ,1944194512
19450616,1944-1945 June 16                    ,1944194512
19450617,1944-1945 June 17                    ,1944194512
19450618,1944-1945 June 18                    ,1944194512
19450619,1944-1945 June 19                    ,1944194512
19450620,1944-1945 June 20                    ,1944194512
19450621,1944-1945 June 21                    ,1944194512
19450622,1944-1945 June 22                    ,1944194512
19450623,1944-1945 June 23                    ,1944194512
19450624,1944-1945 June 24                    ,1944194512
19450625,1944-1945 June 25                    ,1944194512
19450626,1944-1945 June 26                    ,1944194512
19450627,1944-1945 June 27                    ,1944194512
19450628,1944-1945 June 28                    ,1944194512
19450629,1944-1945 June 29                    ,1944194512
19450630,1944-1945 June 30                    ,1944194512
19450701,1945-1946 July 01                    ,1945194601
19450702,1945-1946 July 02                    ,1945194601
19450703,1945-1946 July 03                    ,1945194601
19450704,1945-1946 July 04                    ,1945194601
19450705,1945-1946 July 05                    ,1945194601
19450706,1945-1946 July 06                    ,1945194601
19450707,1945-1946 July 07                    ,1945194601
19450708,1945-1946 July 08                    ,1945194601
19450709,1945-1946 July 09                    ,1945194601
19450710,1945-1946 July 10                    ,1945194601
19450711,1945-1946 July 11                    ,1945194601
19450712,1945-1946 July 12                    ,1945194601
19450713,1945-1946 July 13                    ,1945194601
19450714,1945-1946 July 14                    ,1945194601
19450715,1945-1946 July 15                    ,1945194601
19450716,1945-1946 July 16                    ,1945194601
19450717,1945-1946 July 17                    ,1945194601
19450718,1945-1946 July 18                    ,1945194601
19450719,1945-1946 July 19                    ,1945194601
19450720,1945-1946 July 20                    ,1945194601
19450721,1945-1946 July 21                    ,1945194601
19450722,1945-1946 July 22                    ,1945194601
19450723,1945-1946 July 23                    ,1945194601
19450724,1945-1946 July 24                    ,1945194601
19450725,1945-1946 July 25                    ,1945194601
19450726,1945-1946 July 26                    ,1945194601
19450727,1945-1946 July 27                    ,1945194601
19450728,1945-1946 July 28                    ,1945194601
19450729,1945-1946 July 29                    ,1945194601
19450730,1945-1946 July 30                    ,1945194601
19450731,1945-1946 July 31                    ,1945194601
19450801,1945-1946 August 01                  ,1945194602
19450802,1945-1946 August 02                  ,1945194602
19450803,1945-1946 August 03                  ,1945194602
19450804,1945-1946 August 04                  ,1945194602
19450805,1945-1946 August 05                  ,1945194602
19450806,1945-1946 August 06                  ,1945194602
19450807,1945-1946 August 07                  ,1945194602
19450808,1945-1946 August 08                  ,1945194602
19450809,1945-1946 August 09                  ,1945194602
19450810,1945-1946 August 10                  ,1945194602
19450811,1945-1946 August 11                  ,1945194602
19450812,1945-1946 August 12                  ,1945194602
19450813,1945-1946 August 13                  ,1945194602
19450814,1945-1946 August 14                  ,1945194602
19450815,1945-1946 August 15                  ,1945194602
19450816,1945-1946 August 16                  ,1945194602
19450817,1945-1946 August 17                  ,1945194602
19450818,1945-1946 August 18                  ,1945194602
19450819,1945-1946 August 19                  ,1945194602
19450820,1945-1946 August 20                  ,1945194602
19450821,1945-1946 August 21                  ,1945194602
19450822,1945-1946 August 22                  ,1945194602
19450823,1945-1946 August 23                  ,1945194602
19450824,1945-1946 August 24                  ,1945194602
19450825,1945-1946 August 25                  ,1945194602
19450826,1945-1946 August 26                  ,1945194602
19450827,1945-1946 August 27                  ,1945194602
19450828,1945-1946 August 28                  ,1945194602
19450829,1945-1946 August 29                  ,1945194602
19450830,1945-1946 August 30                  ,1945194602
19450831,1945-1946 August 31                  ,1945194602
19450901,1945-1946 September 01               ,1945194603
19450902,1945-1946 September 02               ,1945194603
19450903,1945-1946 September 03               ,1945194603
19450904,1945-1946 September 04               ,1945194603
19450905,1945-1946 September 05               ,1945194603
19450906,1945-1946 September 06               ,1945194603
19450907,1945-1946 September 07               ,1945194603
19450908,1945-1946 September 08               ,1945194603
19450909,1945-1946 September 09               ,1945194603
19450910,1945-1946 September 10               ,1945194603
