Code,Name,FK_SSD
-1,Unknown,-1
2307,2307,11005
2308,2308,11005
2311,2311,11010
2312,2312,12510
2314,2314,11005
2315,2315,11005
2316,2316,11005
2317,2317,11005
2318,2318,11005
2319,2319,11005
2320,2320,11005
2321,2321,11005
2322,2322,11005
2323,2323,11005
2324,2324,11005
2325,2325,11005
2326,2326,11005
2327,2327,11005
2328,2328,11010
2329,2329,11010
2330,2330,11005
2331,2331,11010
2333,2333,11010
2334,2334,11005
2335,2335,11005
2336,2336,11010
2337,2337,11010
2338,2338,11010
2339,2339,11010
2340,2340,13005
2341,2341,13010
2342,2342,13010
2343,2343,13010
2344,2344,13010
2345,2345,13010
2346,2346,13010
2347,2347,13010
2350,2350,13015
2352,2352,13005
2353,2353,13005
2354,2354,13015
2355,2355,13010
2357,2357,13505
2358,2358,13015
2359,2359,13010
2360,2360,13010
2361,2361,13010
2365,2365,13015
2369,2369,13015
2370,2370,13015
2371,2371,13015
2372,2372,13015
2379,2379,13505
2380,2380,13010
2381,2381,13010
2382,2382,13010
2386,2386,13510
2387,2387,13510
2388,2388,13020
2390,2390,13010
2395,2395,13505
2396,2396,13505
2397,2397,13020
2398,2398,13020
2399,2399,13020
2400,2400,13020
2401,2401,13010
2402,2402,13010
2403,2403,13010
2404,2404,13010
2405,2405,13020
2406,2406,13020
2407,2407,13020
2408,2408,13010
2409,2409,13020
2410,2410,13010
2411,2411,13010
2415,2415,11010
2420,2420,11010
2421,2421,11010
2422,2422,11010
2423,2423,11010
2424,2424,12510
2425,2425,11010
2426,2426,12510
2427,2427,12510
2428,2428,11010
2429,2429,12510
2430,2430,11010
2431,2431,12510
2439,2439,12510
2440,2440,12501
2441,2441,12505
2443,2443,12510
2444,2444,12503
2445,2445,12510
2446,2446,12510
2447,2447,12505
2448,2448,12505
2449,2449,12505
2450,2450,12501
2452,2452,12501
2453,2453,12505
2454,2454,12505
2455,2455,12505
2456,2456,12505
2460,2460,12505
2462,2462,12505
2463,2463,12505
2464,2464,12505
2465,2465,12505
2466,2466,12505
2469,2469,12010
2470,2470,12010
2471,2471,12010
2472,2472,12010
2473,2473,12010
2474,2474,12010
2475,2475,13015
2476,2476,13015
2477,2477,12010
2478,2478,12010
2479,2479,12010
2480,2480,12010
2481,2481,12010
2482,2482,12010
2483,2483,12010
2484,2484,12010
2485,2485,12005
2486,2486,12005
2487,2487,12010
2488,2488,12010
2489,2489,12010
2490,2490,12010
2500,2500,11505
2502,2502,11505
2505,2505,11505
2506,2506,11505
2508,2508,11505
2515,2515,11505
2516,2516,11505
2517,2517,11505
2518,2518,11505
2519,2519,11505
2525,2525,11505
2526,2526,11505
2527,2527,11505
2528,2528,11505
2529,2529,11505
2530,2530,11505
2533,2533,11505
2534,2534,11505
2535,2535,11510
2536,2536,14515
2537,2537,14515
2538,2538,11510
2539,2539,11510
2540,2540,11510
2541,2541,11507
2545,2545,14515
2546,2546,14515
2548,2548,14515
2549,2549,14515
2550,2550,14515
2551,2551,14515
2558,2558,10530
2559,2559,10530
2560,2560,10530
2563,2563,10530
2564,2564,10530
2565,2565,10530
2566,2566,10530
2567,2567,10530
2568,2568,10530
2569,2569,10530
2570,2570,10530
2571,2571,10530
2572,2572,10530
2573,2573,10530
2574,2574,10530
2575,2575,11510
2576,2576,11510
2577,2577,11510
2578,2578,11510
2579,2579,11510
2580,2580,14510
2581,2581,14510
2582,2582,14510
2583,2583,14010
2584,2584,14510
2585,2585,14510
2586,2586,14510
2587,2587,14510
2588,2588,15010
2590,2590,15010
2594,2594,14510
2600,2600,80505
2602,2602,80505
2603,2603,80535
2604,2604,80535
2605,2605,80515
2606,2606,80515
2607,2607,80515
2609,2609,80535
2611,2611,81005
2612,2612,81005
2614,2614,80510
2615,2615,80510
2617,2617,80510
2618,2618,14510
2619,2619,14505
2620,2620,81005
2621,2621,14505
2622,2622,14510
2623,2623,14505
2624,2624,14520
2625,2625,14520
2626,2626,14520
2627,2627,14520
2628,2628,14520
2630,2630,14520
2631,2631,14520
2632,2632,14520
2633,2633,14520
2640,2640,15505
2641,2641,15505
2642,2642,15510
2643,2643,15505
2644,2644,15505
2645,2645,15510
2646,2646,15510
2647,2647,15510
2648,2648,15520
2650,2650,15005
2651,2651,15005
2652,2652,15010
2653,2653,15510
2655,2655,15010
2656,2656,15010
2658,2658,15010
2659,2659,15510
2660,2660,15510
2661,2661,15005
2663,2663,15010
2665,2665,15010
2666,2666,15010
2668,2668,14015
2669,2669,14015
2671,2671,14015
2672,2672,13515
2675,2675,15015
2680,2680,15015
2681,2681,15015
2700,2700,15510
2701,2701,15010
2702,2702,15010
2703,2703,15015
2705,2705,15015
2706,2706,15015
2707,2707,15015
2710,2710,15515
2711,2711,15015
2712,2712,15515
2713,2713,15515
2714,2714,15515
2715,2715,15515
2716,2716,15515
2717,2717,15520
2720,2720,15010
2721,2721,14015
2722,2722,15010
2725,2725,15010
2726,2726,14510
2727,2727,15010
2729,2729,15010
2730,2730,15010
2731,2731,15515
2732,2732,15515
2733,2733,15515
2735,2735,15515
2736,2736,15515
2737,2737,15520
2738,2738,15520
2739,2739,15520
2745,2745,10525
2747,2747,10545
2748,2748,10545
2749,2749,10545
2750,2750,10545
2752,2752,10530
2753,2753,10545
2754,2754,10545
2755,2755,10545
2756,2756,10545
2757,2757,10545
2758,2758,10545
2759,2759,10545
2760,2760,10553
2761,2761,10553
2762,2762,10553
2763,2763,10553
2765,2765,10545
2766,2766,10553
2767,2767,10553
2768,2768,10553
2770,2770,10553
2773,2773,10545
2774,2774,10545
2775,2775,10560
2776,2776,10545
2777,2777,10545
2778,2778,10545
2779,2779,10545
2780,2780,10545
2782,2782,10545
2783,2783,10545
2784,2784,10545
2785,2785,10545
2786,2786,10545
2787,2787,10530
2790,2790,14010
2791,2791,14010
2792,2792,14010
2793,2793,14015
2794,2794,14015
2795,2795,14005
2797,2797,14010
2798,2798,14005
2799,2799,14005
2800,2800,14010
2803,2803,14510
2804,2804,14015
2805,2805,14015
2806,2806,14015
2807,2807,14510
2808,2808,14015
2809,2809,14015
2810,2810,14015
2820,2820,13505
2821,2821,13505
2823,2823,13505
2824,2824,13510
2825,2825,13510
2827,2827,13505
2828,2828,13510
2829,2829,13510
2830,2830,13505
2831,2831,13510
2832,2832,13510
2833,2833,13510
2834,2834,13510
2835,2835,13515
2836,2836,16010
2839,2839,13515
2840,2840,13515
2842,2842,13505
2843,2843,13505
2844,2844,13505
2845,2845,14010
2846,2846,14010
2847,2847,14010
2848,2848,14010
2849,2849,14010
2850,2850,11010
2852,2852,13505
2864,2864,14015
2865,2865,14015
2866,2866,14015
2867,2867,14015
2868,2868,13505
2869,2869,13505
2870,2870,14015
2871,2871,14015
2873,2873,14015
2874,2874,14015
2875,2875,14015
2876,2876,14015
2877,2877,13510
2878,2878,16010
2879,2879,16010
2880,2880,16010
2898,2898,12510
2900,2900,80525
2902,2902,80525
2903,2903,80525
2904,2904,80525
2905,2905,80525
2906,2906,80525
2911,2911,80540
2912,2912,80540
2913,2913,80540
2914,2914,80540
2999,2999,18501
3000,3000,20505
3002,3002,20505
3003,3003,20505
3004,3004,20505
3006,3006,20505
3011,3011,20505
3012,3012,20510
3013,3013,20510
3015,3015,20510
3016,3016,20510
3018,3018,20510
3019,3019,20510
3020,3020,20510
3021,3021,20510
3022,3022,20510
3023,3023,20520
3024,3024,20520
3025,3025,20510
3026,3026,20520
3027,3027,20520
3028,3028,20520
3029,3029,20520
3030,3030,20520
3031,3031,20505
3032,3032,20505
3033,3033,20510
3034,3034,20510
3036,3036,20510
3037,3037,20510
3038,3038,20510
3039,3039,20510
3040,3040,20510
3041,3041,20510
3042,3042,20510
3043,3043,20510
3044,3044,20525
3045,3045,20535
3046,3046,20525
3047,3047,20535
3048,3048,20535
3049,3049,20535
3051,3051,20505
3052,3052,20505
3053,3053,20505
3054,3054,20505
3055,3055,20525
3056,3056,20525
3057,3057,20525
3058,3058,20525
3059,3059,20535
3060,3060,20525
3061,3061,20535
3062,3062,20535
3063,3063,20535
3064,3064,20535
3065,3065,20505
3066,3066,20505
3067,3067,20505
3068,3068,20505
3070,3070,20530
3071,3071,20530
3072,3072,20530
3073,3073,20530
3074,3074,20540
3075,3075,20540
3076,3076,20540
3078,3078,20505
3079,3079,20530
3081,3081,20530
3082,3082,20540
3083,3083,20530
3084,3084,20530
3085,3085,20530
3087,3087,20530
3088,3088,20540
3089,3089,20530
3090,3090,20540
3091,3091,20540
3093,3093,20530
3094,3094,20530
3095,3095,20530
3096,3096,20540
3097,3097,20540
3099,3099,20540
3101,3101,20545
3102,3102,20545
3103,3103,20545
3104,3104,20545
3105,3105,20550
3106,3106,20550
3107,3107,20550
3108,3108,20550
3109,3109,20550
3111,3111,20550
3113,3113,20550
3114,3114,20550
3115,3115,20555
3116,3116,20560
3121,3121,20505
3122,3122,20545
3123,3123,20545
3124,3124,20545
3125,3125,20545
3126,3126,20545
3127,3127,20550
3128,3128,20550
3129,3129,20550
3130,3130,20550
3131,3131,20550
3132,3132,20550
3133,3133,20550
3134,3134,20555
3135,3135,20555
3136,3136,20555
3137,3137,20560
3138,3138,20560
3139,3139,20560
3140,3140,20560
3141,3141,20505
3142,3142,20505
3143,3143,20505
3144,3144,20565
3145,3145,20565
3146,3146,20545
3147,3147,20545
3148,3148,20550
3149,3149,20550
3150,3150,20550
3151,3151,20550
3152,3152,20555
3153,3153,20555
3154,3154,20555
3155,3155,20555
3156,3156,20555
3158,3158,20560
3159,3159,20560
3160,3160,20560
3161,3161,20565
3162,3162,20565
3163,3163,20565
3165,3165,20565
3166,3166,20550
3167,3167,20550
3168,3168,20550
3169,3169,20565
3170,3170,20550
3171,3171,20575
3172,3172,20565
3173,3173,20575
3174,3174,20575
3175,3175,20575
3177,3177,20580
3178,3178,20555
3179,3179,20555
3180,3180,20555
3181,3181,20505
3182,3182,20505
3183,3183,20505
3184,3184,20505
3185,3185,20505
3186,3186,20565
3187,3187,20565
3188,3188,20565
3189,3189,20565
3190,3190,20565
3191,3191,20565
3192,3192,20565
3193,3193,20565
3194,3194,20565
3195,3195,20565
3196,3196,20565
3197,3197,20565
3198,3198,20585
3199,3199,20585
3200,3200,20585
3201,3201,20585
3202,3202,20565
3204,3204,20565
3205,3205,20505
3206,3206,20505
3207,3207,20505
3211,3211,20520
3212,3212,21005
3214,3214,21005
3215,3215,21005
3216,3216,21005
3218,3218,21005
3219,3219,21005
3220,3220,21005
3221,3221,21005
3222,3222,21010
3223,3223,21010
3224,3224,21005
3225,3225,21010
3226,3226,21010
3227,3227,21010
3228,3228,21010
3230,3230,21010
3231,3231,21010
3232,3232,21010
3233,3233,21015
3235,3235,21010
3236,3236,21015
3237,3237,21015
3238,3238,21015
3239,3239,21015
3240,3240,21010
3241,3241,21010
3242,3242,21015
3243,3243,21015
3249,3249,21015
3250,3250,21015
3251,3251,21015
3254,3254,21015
3260,3260,21015
3264,3264,21505
3265,3265,21505
3266,3266,21505
3267,3267,21505
3268,3268,21505
3269,3269,21505
3270,3270,21505
3271,3271,21505
3272,3272,21505
3274,3274,21505
3276,3276,21505
3277,3277,21501
3280,3280,21501
3281,3281,21501
3282,3282,21505
3283,3283,21505
3284,3284,21505
3285,3285,21505
3286,3286,21505
3287,3287,21505
3289,3289,21510
3292,3292,21510
3293,3293,21510
3294,3294,21510
3300,3300,21510
3302,3302,21510
3303,3303,21510
3304,3304,21505
3305,3305,21510
3309,3309,21510
3310,3310,21510
3311,3311,21510
3312,3312,21510
3314,3314,21510
3315,3315,21510
3317,3317,22505
3318,3318,22505
3319,3319,22505
3321,3321,21015
3322,3322,21015
3323,3323,21505
3324,3324,21505
3325,3325,21505
3328,3328,21015
3330,3330,21015
3331,3331,21015
3332,3332,21015
3333,3333,21015
3334,3334,22010
3335,3335,20520
3337,3337,20520
3338,3338,20520
3340,3340,22010
3341,3341,22010
3342,3342,22010
3345,3345,22010
3350,3350,22005
3351,3351,21015
3352,3352,22005
3355,3355,22005
3356,3356,22005
3357,3357,22005
3360,3360,21015
3361,3361,21505
3363,3363,22010
3364,3364,22010
3370,3370,22010
3371,3371,22015
3373,3373,22015
3375,3375,22015
3377,3377,22015
3379,3379,22015
3380,3380,22505
3381,3381,22505
3387,3387,22510
3388,3388,22510
3390,3390,22510
3391,3391,22510
3392,3392,22510
3393,3393,22510
3395,3395,22510
3396,3396,22510
3400,3400,22505
3401,3401,22505
3407,3407,21510
3409,3409,22505
3412,3412,22505
3413,3413,22505
3414,3414,22510
3418,3418,22510
3419,3419,22505
3420,3420,22505
