Code,Name,FK_Quarter
1970197102,1970-1971 August,197019711
1970197103,1970-1971 September,197019711
1970197104,1970-1971 October,197019712
1970197105,1970-1971 November,197019712
1970197106,1970-1971 December,197019712
1970197107,1970-1971 January,197019713
1970197108,1970-1971 February,197019713
1970197109,1970-1971 March,197019713
1970197110,1970-1971 April,197019714
1970197111,1970-1971 May,197019714
1970197112,1970-1971 June,197019714
1971197201,1971-1972 July,197119721
1971197202,1971-1972 August,197119721
1971197203,1971-1972 September,197119721
1971197204,1971-1972 October,197119722
1971197205,1971-1972 November,197119722
1971197206,1971-1972 December,197119722
1971197207,1971-1972 January,197119723
1971197208,1971-1972 February,197119723
1971197209,1971-1972 March,197119723
1971197210,1971-1972 April,197119724
1971197211,1971-1972 May,197119724
1971197212,1971-1972 June,197119724
1972197301,1972-1973 July,197219731
1972197302,1972-1973 August,197219731
1972197303,1972-1973 September,197219731
1972197304,1972-1973 October,197219732
1972197305,1972-1973 November,197219732
1972197306,1972-1973 December,197219732
1972197307,1972-1973 January,197219733
1972197308,1972-1973 February,197219733
1972197309,1972-1973 March,197219733
1972197310,1972-1973 April,197219734
1972197311,1972-1973 May,197219734
1972197312,1972-1973 June,197219734
1973197401,1973-1974 July,197319741
1973197402,1973-1974 August,197319741
1973197403,1973-1974 September,197319741
1973197404,1973-1974 October,197319742
1973197405,1973-1974 November,197319742
1973197406,1973-1974 December,197319742
1973197407,1973-1974 January,197319743
1973197408,1973-1974 February,197319743
1973197409,1973-1974 March,197319743
1973197410,1973-1974 April,197319744
1973197411,1973-1974 May,197319744
1973197412,1973-1974 June,197319744
1974197501,1974-1975 July,197419751
1974197502,1974-1975 August,197419751
1974197503,1974-1975 September,197419751
1974197504,1974-1975 October,197419752
1974197505,1974-1975 November,197419752
1974197506,1974-1975 December,197419752
1974197507,1974-1975 January,197419753
1974197508,1974-1975 February,197419753
1974197509,1974-1975 March,197419753
1974197510,1974-1975 April,197419754
1974197511,1974-1975 May,197419754
1974197512,1974-1975 June,197419754
1975197601,1975-1976 July,197519761
1975197602,1975-1976 August,197519761
1975197603,1975-1976 September,197519761
1975197604,1975-1976 October,197519762
1975197605,1975-1976 November,197519762
1975197606,1975-1976 December,197519762
1975197607,1975-1976 January,197519763
1975197608,1975-1976 February,197519763
1975197609,1975-1976 March,197519763
1975197610,1975-1976 April,197519764
1975197611,1975-1976 May,197519764
1975197612,1975-1976 June,197519764
1976197701,1976-1977 July,197619771
1976197702,1976-1977 August,197619771
1976197703,1976-1977 September,197619771
1976197704,1976-1977 October,197619772
1976197705,1976-1977 November,197619772
1976197706,1976-1977 December,197619772
1976197707,1976-1977 January,197619773
1976197708,1976-1977 February,197619773
1976197709,1976-1977 March,197619773
1976197710,1976-1977 April,197619774
1976197711,1976-1977 May,197619774
1976197712,1976-1977 June,197619774
1977197801,1977-1978 July,197719781
1977197802,1977-1978 August,197719781
1977197803,1977-1978 September,197719781
1977197804,1977-1978 October,197719782
1977197805,1977-1978 November,197719782
1977197806,1977-1978 December,197719782
1977197807,1977-1978 January,197719783
1977197808,1977-1978 February,197719783
1977197809,1977-1978 March,197719783
1977197810,1977-1978 April,197719784
1977197811,1977-1978 May,197719784
1977197812,1977-1978 June,197719784
1978197901,1978-1979 July,197819791
1978197902,1978-1979 August,197819791
1978197903,1978-1979 September,197819791
1978197904,1978-1979 October,197819792
1978197905,1978-1979 November,197819792
1978197906,1978-1979 December,197819792
1978197907,1978-1979 January,197819793
1978197908,1978-1979 February,197819793
1978197909,1978-1979 March,197819793
1978197910,1978-1979 April,197819794
1978197911,1978-1979 May,197819794
1978197912,1978-1979 June,197819794
1979198001,1979-1980 July,197919801
1979198002,1979-1980 August,197919801
1979198003,1979-1980 September,197919801
1979198004,1979-1980 October,197919802
1979198005,1979-1980 November,197919802
1979198006,1979-1980 December,197919802
1979198007,1979-1980 January,197919803
1979198008,1979-1980 February,197919803
1979198009,1979-1980 March,197919803
1979198010,1979-1980 April,197919804
1979198011,1979-1980 May,197919804
1979198012,1979-1980 June,197919804
1980198101,1980-1981 July,198019811
1980198102,1980-1981 August,198019811
1980198103,1980-1981 September,198019811
1980198104,1980-1981 October,198019812
1980198105,1980-1981 November,198019812
1980198106,1980-1981 December,198019812
1980198107,1980-1981 January,198019813
1980198108,1980-1981 February,198019813
1980198109,1980-1981 March,198019813
1980198110,1980-1981 April,198019814
1980198111,1980-1981 May,198019814
1980198112,1980-1981 June,198019814
1981198201,1981-1982 July,198119821
1981198202,1981-1982 August,198119821
1981198203,1981-1982 September,198119821
1981198204,1981-1982 October,198119822
1981198205,1981-1982 November,198119822
1981198206,1981-1982 December,198119822
1981198207,1981-1982 January,198119823
1981198208,1981-1982 February,198119823
1981198209,1981-1982 March,198119823
1981198210,1981-1982 April,198119824
1981198211,1981-1982 May,198119824
1981198212,1981-1982 June,198119824
1982198301,1982-1983 July,198219831
1982198302,1982-1983 August,198219831
1982198303,1982-1983 September,198219831
1982198304,1982-1983 October,198219832
1982198305,1982-1983 November,198219832
1982198306,1982-1983 December,198219832
1982198307,1982-1983 January,198219833
1982198308,1982-1983 February,198219833
1982198309,1982-1983 March,198219833
1982198310,1982-1983 April,198219834
1982198311,1982-1983 May,198219834
1982198312,1982-1983 June,198219834
1983198401,1983-1984 July,198319841
1983198402,1983-1984 August,198319841
1983198403,1983-1984 September,198319841
1983198404,1983-1984 October,198319842
1983198405,1983-1984 November,198319842
1983198406,1983-1984 December,198319842
1983198407,1983-1984 January,198319843
1983198408,1983-1984 February,198319843
1983198409,1983-1984 March,198319843
1983198410,1983-1984 April,198319844
1983198411,1983-1984 May,198319844
1983198412,1983-1984 June,198319844
1984198501,1984-1985 July,198419851
1984198502,1984-1985 August,198419851
1984198503,1984-1985 September,198419851
1984198504,1984-1985 October,198419852
1984198505,1984-1985 November,198419852
1984198506,1984-1985 December,198419852
1984198507,1984-1985 January,198419853
1984198508,1984-1985 February,198419853
1984198509,1984-1985 March,198419853
1984198510,1984-1985 April,198419854
1984198511,1984-1985 May,198419854
1984198512,1984-1985 June,198419854
1985198601,1985-1986 July,198519861
1985198602,1985-1986 August,198519861
1985198603,1985-1986 September,198519861
1985198604,1985-1986 October,198519862
1985198605,1985-1986 November,198519862
1985198606,1985-1986 December,198519862
1985198607,1985-1986 January,198519863
1985198608,1985-1986 February,198519863
1985198609,1985-1986 March,198519863
1985198610,1985-1986 April,198519864
1985198611,1985-1986 May,198519864
1985198612,1985-1986 June,198519864
1986198701,1986-1987 July,198619871
1986198702,1986-1987 August,198619871
1986198703,1986-1987 September,198619871
1986198704,1986-1987 October,198619872
1986198705,1986-1987 November,198619872
1986198706,1986-1987 December,198619872
1986198707,1986-1987 January,198619873
1986198708,1986-1987 February,198619873
1986198709,1986-1987 March,198619873
1986198710,1986-1987 April,198619874
1986198711,1986-1987 May,198619874
1986198712,1986-1987 June,198619874
1987198801,1987-1988 July,198719881
1987198802,1987-1988 August,198719881
1987198803,1987-1988 September,198719881
1987198804,1987-1988 October,198719882
1987198805,1987-1988 November,198719882
1987198806,1987-1988 December,198719882
1987198807,1987-1988 January,198719883
1987198808,1987-1988 February,198719883
1987198809,1987-1988 March,198719883
1987198810,1987-1988 April,198719884
1987198811,1987-1988 May,198719884
1987198812,1987-1988 June,198719884
1988198901,1988-1989 July,198819891
1988198902,1988-1989 August,198819891
1988198903,1988-1989 September,198819891
1988198904,1988-1989 October,198819892
1988198905,1988-1989 November,198819892
1988198906,1988-1989 December,198819892
1988198907,1988-1989 January,198819893
1988198908,1988-1989 February,198819893
1988198909,1988-1989 March,198819893
1988198910,1988-1989 April,198819894
1988198911,1988-1989 May,198819894
1988198912,1988-1989 June,198819894
1989199001,1989-1990 July,198919901
1989199002,1989-1990 August,198919901
1989199003,1989-1990 September,198919901
1989199004,1989-1990 October,198919902
1989199005,1989-1990 November,198919902
1989199006,1989-1990 December,198919902
1989199007,1989-1990 January,198919903
1989199008,1989-1990 February,198919903
1989199009,1989-1990 March,198919903
1989199010,1989-1990 April,198919904
1989199011,1989-1990 May,198919904
1989199012,1989-1990 June,198919904
1990199101,1990-1991 July,199019911
1990199102,1990-1991 August,199019911
